qx, qy, qz, qw, ax, ay, az, gx, gy, gz
8517,-1188,-6065,12557,864,-1328,1434,-455,0,-24
8504,-1209,-6160,12518,1038,-1233,1394,-576,-7,131
8488,-1256,-6249,12480,866,-1232,1443,-658,37,148
8467,-1310,-6340,12443,865,-1386,1355,-607,59,160
8455,-1346,-6413,12410,921,-1482,1331,-436,70,119
8449,-1370,-6467,12383,935,-1433,1343,-329,87,102
8445,-1385,-6493,12370,928,-1366,1335,-186,124,141
8444,-1400,-6523,12354,930,-1281,1314,-234,116,129
8428,-1425,-6551,12347,870,-1326,1233,-202,122,219
8406,-1458,-6602,12331,890,-1342,1246,-347,79,229
8367,-1502,-6676,12312,858,-1481,1279,-467,12,277
8326,-1548,-6722,12309,769,-1456,1280,-338,47,325
8275,-1563,-6732,12336,760,-1453,1260,-33,-16,402
8225,-1578,-6730,12369,675,-1350,1264,-2,-12,410
8174,-1596,-6729,12401,645,-1475,1292,6,-10,385
8113,-1624,-6737,12433,603,-1522,1247,-29,-27,436
8049,-1646,-6728,12476,502,-1470,1278,53,-52,441
7983,-1658,-6698,12533,372,-1309,1258,150,-90,456
7918,-1675,-6682,12580,250,-1398,1269,82,-132,373
7849,-1696,-6700,12611,292,-1580,1292,-60,-198,330
7787,-1709,-6710,12643,346,-1597,1370,-32,-179,317
7732,-1719,-6690,12686,306,-1483,1369,106,-117,326
7692,-1732,-6676,12716,262,-1440,1302,58,-78,220
7659,-1748,-6685,12729,297,-1494,1326,-80,-89,156
7620,-1771,-6715,12733,303,-1504,1332,-212,-120,159
7580,-1793,-6737,12742,296,-1497,1375,-194,-114,180
7542,-1819,-6765,12746,297,-1458,1351,-248,-102,175
7507,-1849,-6806,12741,260,-1431,1299,-331,-108,131
7475,-1873,-6862,12727,267,-1452,1264,-385,-157,69
7446,-1887,-6926,12706,230,-1482,1303,-426,-225,-6
7422,-1885,-6980,12691,174,-1475,1350,-355,-292,-70
7400,-1875,-7042,12671,157,-1498,1329,-367,-344,-128
7387,-1864,-7140,12626,235,-1533,1248,-543,-368,-231
7397,-1840,-7231,12571,280,-1576,1247,-486,-339,-373
7419,-1802,-7303,12522,260,-1585,1252,-360,-342,-452
7447,-1750,-7368,12475,277,-1579,1293,-302,-377,-500
7463,-1695,-7448,12425,306,-1632,1217,-335,-447,-481
7489,-1650,-7559,12348,412,-1656,1207,-557,-418,-554
7537,-1600,-7658,12264,501,-1656,1163,-489,-322,-641
7593,-1560,-7759,12171,524,-1600,1112,-552,-262,-667
7635,-1528,-7881,12070,508,-1644,1078,-669,-320,-648
7659,-1518,-8034,11955,541,-1739,1117,-918,-367,-576
7685,-1521,-8174,11842,559,-1821,1086,-870,-278,-552
7718,-1535,-8267,11755,525,-1807,1039,-636,-108,-473
7739,-1561,-8328,11693,370,-1796,1032,-483,-70,-381
7740,-1627,-8402,11631,228,-1834,970,-627,-27,-263
7723,-1700,-8480,11576,195,-1771,950,-671,-65,-156
7707,-1761,-8532,11538,217,-1701,979,-533,-52,-104
7662,-1833,-8615,11495,189,-1751,876,-669,-159,-14
7594,-1923,-8736,11434,215,-1870,803,-896,-225,59
7524,-2008,-8849,11379,309,-1928,815,-845,-221,111
7453,-2067,-8927,11354,333,-1979,792,-551,-239,152
7375,-2117,-9016,11325,355,-1993,739,-578,-311,141
7323,-2146,-9100,11286,569,-1945,837,-585,-269,66
7282,-2163,-9151,11269,589,-1707,982,-485,-236,125
7265,-2241,-9237,11194,883,-1683,1106,-1013,57,199
7280,-2391,-9312,11091,812,-1870,1144,-1214,457,193
7324,-2547,-9322,11018,609,-1900,1036,-821,698,131
7395,-2676,-9292,10965,491,-1796,856,-448,775,-6
7476,-2778,-9250,10921,424,-1722,784,-269,730,-115
7552,-2866,-9234,10859,468,-1667,762,-391,623,-176
7615,-2950,-9269,10762,645,-1927,758,-661,503,-240
7670,-3036,-9311,10663,711,-2257,749,-660,471,-230
7722,-3093,-9313,10606,759,-2381,699,-267,433,-162
7772,-3119,-9274,10596,707,-2118,659,98,370,-66
7801,-3133,-9241,10601,619,-1933,653,112,219,-12
7821,-3135,-9222,10601,587,-1864,670,48,109,-50
7834,-3135,-9224,10590,586,-1851,686,-76,30,-81
7845,-3130,-9237,10572,615,-1827,688,-128,-10,-103
7854,-3118,-9250,10557,631,-1860,705,-112,-48,-110
